job_cluster,skills_filtered,job_level,job_title
Data Analysis,"['treasury operations', 'credit cards', 'accounting', 'analysis', 'reporting', 'spreadsheet', 'database', 'judgment', 'accuracy', 'flexibility', 'partnerships', 'accounting', 'finance', 'business administration', 'accountancy', 'banking', 'data reconciliation', 'data analysis', 'variance analysis', 'budgeting', 'research', 'process improvement']",Mid senior,"Sr. Analyst, Treasury Operations"
Financial Analysis,"['investment banking', 'mergers and acquisitions', 'capital markets', 'excel', 'accounting', 'finance', 'corporate finance', 'financial analysis', 'leveraged finance', 'financial advisory', 'communication', 'communication', 'analytical skills', 'computer', 'teamwork', 'cooperation', 'strong work ethic', 'attention to detail', 'problem solving', 'leadership', 'communication', 'presentation', 'research', 'negotiation', 'proficiency in microsoft office suite']",Mid senior,2025 Summer Financial Analyst - Financial Restructuring - New York
Financial Analysis,"['financial analysis', 'forecasting', 'budgeting', 'financial modeling', 'financial reporting', 'general ledger accounting', 'adhoc projects', 'budgeting', 'forecasting', 'financial modeling', 'general ledger accounting', 'cpa', 'communication', 'attention to detail']",Mid senior,Senior Financial Analyst / Accounting Analyst
Financial Analysis,"['financial analysis', 'advanced excel', 'data manipulation', 'financial modeling', 'troubleshooting', 'problem solving', 'sap', 'budgeting', 'forecasting', 'reporting', 'analytics', 'communication', 'financial reporting', 'financial analysis', 'mba']",Mid senior,Sr Financial Analyst
MS Office,"['investment operations', 'performance reporting', 'projections', 'reconciliation', 'cash flow management', 'problem resolution', 'cash management', 'journal entries', 'capital calls', 'distributions', 'collateral management', 'reconciliations', 'accounting', 'reporting processes', 'tax filings', 'crosstraining', 'regulatory standards', 'organization', 'detailorientation', 'communication', 'multitasking', 'problem solving', 'resultsdriven', 'ethical standards', 'team orientation', 'word', 'powerpoint', 'excel', 'outlook', 'accounting', 'financial reporting', 'investment operations', 'accounting', 'fulltime']",Mid senior,Investment Operations Analyst - 501873
Analytical Thinking,"['investment analysis', 'business development', 'financial modeling', 'analytical skills', 'communication', 'presentation', 'writing', 'teamwork', 'venture capital', 'renewable energy', 'engineering', 'problem solving', 'independent work']",Mid senior,Investment Analyst
Accounting,"['data manipulation', 'reporting', 'forecasting', 'financial analysis', 'process improvement', 'ad hoc analysis', 'excel', 'accounting', 'finance', 'mba', 'cpa', 'financial planning', 'public accounting', 'audit']",Associate,Associate Financial Analyst
Customer Service & Sales,"['budgeting', 'forecasting', 'financial reporting', 'business case development', 'business planning', 'stakeholder engagement', 'financial analysis', 'communication', 'strategic thinking', 'analytical skills', 'decision making', 'teamwork', 'flexibility', 'problem solving', 'presentation', 'customer service', 'microsoft office', 'travel', 'equity', 'bonus', 'wellness program']",Mid senior,Sr. Financial Analyst
Accounting,"['tax preparation', 'tax filing', 'tax management', 'asc 740', 'sox 404', 'cpa', 'public accounting', 'private accounting', 'financial services', 'communication', 'communication']",Mid senior,Tax Compliance Analyst
Collaboration,"['financial planning analysis', 'financial insights', 'business decisions', 'financial performance', 'financial forecasting', 'financial modeling', 'revenue analysis', 'cost analysis', 'pricing analysis', 'profitability analysis', 'variance analysis', 'budget development', 'financial statements', 'management reports', 'key performance indicators kpis', 'financial systems', 'collaboration', 'financial guidance', 'regulatory changes', 'market analysis', 'benchmarking', 'finance', 'accounting', 'economics', 'analytical skills', 'quantitative', 'financial modeling', 'forecasting', 'budgeting', 'excel', 'financial software', 'communication', 'presentation', 'attention to detail', 'financial analysis', 'adaptability', 'flexibility']",Mid senior,Financial Planning and Analysis Analyst
Analytical Thinking,"['investment analysis', 'financial modeling', 'valuation', 'structuring', 'project finance', 'gaap', 'ifrs', 'financial risk management', 'analytical skills', 'communication', 'project finance']",Mid senior,AIFA Senior Analyst (Investment & Project Finance Senior Analyst)
Data Analysis,"['communication', 'organization', 'multitasking', 'excel', 'word', 'microsoft project', 'secret security clearance', 'audits', 'policies', 'procedures', 'risk management', 'data analysis', 'reporting', 'presentation', 'problem solving', 'research', 'attention to detail', 'time management']",Mid senior,Property Audit Analyst
Financial Analysis,"['financial analysis', 'budgeting', 'forecasting', 'research', 'accounting', 'data analysis', 'problem solving', 'communication', 'teamwork', 'finance', 'accounting', 'budgeting', 'forecasting', 'economics', 'statistical analysis', 'risk management', 'business intelligence', 'presentation', 'ability to work independently and as part of a team']",Mid senior,Financial Analyst Specialist
Financial Analysis,"['credit analysis', 'underwriting', 'financial statement analysis', 'risk assessment', 'credit reports', 'ofac', 'background checks', 'business analysis', 'compliance', 'accounting', 'financial analysis', 'microsoft office', 'commercial real estate', 'onsite work']",Mid senior,Commercial Credit Analyst
Financial Analysis,"['analytical support', 'trend analysis']",Mid senior,Treasury Analyst
Finance & Economics,"['risk analysis', 'profit and loss', 'portfolio management', 'accounting', 'financial modeling', 'vba', 'sql', 'excel', 'finance', 'accounting', 'economics']",Mid senior,Financial Control and Risk Analyst
Collaboration,"['finance', 'fpa', 'business analysis', 'automation', 'process improvement', 'relationship building', 'teamwork', 'communication', 'critical thinking', 'microsoft office', 'tableau', 'power bi', 'leadership', 'innovation', 'consulting', 'collaboration']",Mid senior,Lead Finance Analyst
Multitasking,"['kyc', 'aml', 'adaptability', 'multitasking', 'organization', 'communication', 'teamwork', 'legal services', 'professional services']",Mid senior,Legal Compliance Analyst - Leeds
Financial Analysis,"['financial services', 'investment banking', 'private equity', 'consulting', 'finance', 'business', 'accounting', 'economics', 'mathematics', 'private equity', 'accounting', 'financial concepts', 'microsoft office', 'excel', 'financial reporting', 'financial analysis', 'modeling', 'due diligence']",Mid senior,"Analyst, Investment Banking - Secondary Advisory"
Data Analysis,"['finance', 'accounting', 'powerbi', 'data analysis', 'problem solving', 'analytical skills', 'planning', 'budgeting', 'forecasting', 'reporting', 'research', 'generally accepted accounting principles', 'accounting policies', 'procedures', 'standards']",Mid senior,Financial Analyst Senior
Data Analysis,"['financial modeling', 'forecasting', 'data analysis', 'reporting', 'budgeting', 'business analysis', 'financial planning', 'collaboration', 'communication']",Associate,Financial Planning and Analysis Specialist
Data Analysis,"['financial planning', 'budgeting', 'forecasting', 'variance analysis', 'financial modeling', 'due diligence', 'treasury management', 'business case development', 'data analysis', 'sql', 'powerbi', 'tableau', 'excel', 'powerpoint', 'strong communication']",Associate,"Analyst, Strategic Finance & Planning"
Attention to Detail,"['excel', 'vlookups', 'pivot tables', 'attention to detail', 'bank account reconciliation', 'interpersonal and communication', 'online banking']",Associate,Banking Analyst
Financial Analysis,"['capital expenditure analysis', 'erp system', 'sarbanesoxley sox', 'financial analysis', 'communication', 'time management', 'microsoft office proficiency', 'detail orientation', 'organization', 'business acumen', 'accounting', 'finance', 'tableau', 'powerbi', 'excel']",Mid senior,Senior Financial Analyst
Financial Analysis,"['financial analysis', 'budget variance analysis', 'forecasting', 'financial modeling', 'operations management', 'purchasing', 'annual budget', 'financial statements', 'communication', 'collaboration', 'cpa']",Mid senior,Finance - Senior Operations Financial Analyst
Financial Analysis,"['analytical mindset', 'data interpretation', 'financial reporting', 'financial modeling', 'cost analysis', 'advanced excel', 'written and verbal communication', 'financial analysis']",Mid senior,Financial Analyst
Financial Analysis,"['financial analysis', 'financial modeling', 'forecasting', 'budgeting', 'market trends', 'investment analysis', 'financial reporting', 'presentation', 'excel', 'data analysis', 'accounting principles', 'financial regulations', 'collaboration', 'accuracy']",Mid senior,Financial Analyst
Finance & Economics,"['cash management', 'banking services', 'bank account management', 'coding', 'powerbi', 'alteryx', 'tableau', 'sql', 'robotic process automation', 'excel', 'critical thinking', 'initiative', 'curiosity', 'communication', 'accounting', 'tax', 'finance', 'economics', 'risk management', 'quantitative finance', 'microsoft office products']",Mid senior,Treasury Analyst
Financial Analysis,"['financial analysis', 'budget management', 'financial reporting', 'variance analysis', 'financial modeling', 'performance improvement', 'data analysis', 'communication', 'teamwork', 'project management', 'problem solving', 'excel', 'power query', 'macros', 'powerpoint', 'accounting software', 'nonprofit accounting']",Mid senior,Senior Financial Analyst
Attention to Detail,"['financial modeling', 'excel', 'sql', 'data analytics', 'data visualization', 'investment analysis', 'due diligence', 'strategic decision making', 'business development', 'teamwork', 'communication', 'problem solving', 'attention to detail', 'learning agility', 'ethics', 'motivation', 'continuous learning']",Mid senior,Family Office Investment Analyst
