job_cluster,skills_filtered,job_level,job_title
Collaboration,"['psychiatry', 'psychology', 'collaboration', 'delegation', 'leadership', 'communication', 'research', 'empathy', 'flexibility', 'active listening', 'evidencebased treatment', 'multidisciplinary team', 'record keeping', 'patient education', 'training', 'diagnosis']",Mid senior,"Locum Doctor Learning Disabilities Consultant, Community"
Retail & Service,"['customer service', 'administrative support', 'computer', 'organization', 'policies', 'valid drivers license']",Mid senior,"Service Advisor - Swedesboro, NJ"
Retail & Service,"['customer service', 'computer literacy', 'internet research', 'organization', 'followup', 'valid drivers license', 'equal employment opportunity']",Mid senior,Internal Advisor
Time Management,"['sales', 'customer service', 'communication', 'time management', 'enthusiasm', 'drive', 'parts', 'service', 'automotive', 'career growth', 'commission', 'car allowance']",Mid senior,Sales Consultant/Cadet
Analytical Thinking,"['information security', 'risk management', 'cybersecurity', 'analytical skills', 'risk assessment', 'communication', 'problem solving', 'strategic thinking', 'data analysis', 'project management', 'governance', 'oversight', 'audit', 'process improvement', 'risk identification', 'risk mitigation', 'regulatory compliance', 'certifications', 'crossfunctional collaboration', 'bachelors degree', 'consulting', 'internal audit', 'certifications', 'excellent communication', 'diversity and inclusion', 'equal opportunity employer']",Mid senior,"Manager, Risk Advisor Risk Management Business Risk Office"
Formal Qualifications & Degrees,"['sales', 'account management', 'contract compliance', 'technology', 'portfolio management', 'program development', 'process improvement', 'travel willingness', 'bachelors degree', 'sales', 'business development', 'healthcare industry', 'critical thinking', 'problem solving', 'executive presence']",Associate,Senior Business Development Consultant - Independent Reference Lab
Project Management,"['management consulting', 'process engineering', 'project management', 'program management', 'business analysis', 'strategic planning', 'mergers and acquisitions', 'change management', 'learning and development', 'organizational design', 'crm', 'project management', 'release management', 'pto', 'parental leave', '401k', 'health and wellness program', 'technical expertise', 'entrepreneurial spirit']",Mid senior,Management Consulting
Communication,"['sales targets', 'kpis', 'prospecting', 'crm software', 'communication', 'sales strategies', 'networking', 'networking', 'hvac', 'account executive', 'sales associate']",Mid senior,Sales Consultant - Smart Home Technology - B2C &amp;pound;80K OTE
Teamwork,"['customer service', 'sales', 'teamwork', 'coaching', 'retail', 'cosmetics', 'sales goals', 'customer relationships', 'account executive', 'medical benefits', 'vision benefits', 'dental benefits', 'employee discount']",Associate,Beauty Advisor
Cyber Security,"['high school diploma', 'ged']",Mid senior,Advisor Updated 10/16/2022
Negotiation,"['automotive sales', 'customer service', 'communication', 'presentation', 'negotiation', 'building relationships', 'crm software', 'microsoft office', 'valid drivers license', 'professional appearance', 'english proficiency']",Mid senior,Automotive Sales Consultant
Retail & Service,"['customer service', 'communication', 'automotive', 'vehicle maintenance', 'sales', 'consultative selling', 'organization', 'technology', 'safe driving record', 'high school diploma or equivalent']",Mid senior,Service Advisor
Problem Solving,"['communication', 'customer service', 'time management', 'supervision', 'customer satisfaction', 'sales', 'organizing', 'leadership', 'problem solving', 'vehicle diagnostics', 'repair', 'warranty claims', 'hiring', 'compliance', 'concierge support']",Mid senior,Service Advisor
Analytical Thinking,"['implementation', 'configuration', 'knowledge transfer', 'solution design', 'documentation', 'technical writing', 'troubleshooting', 'support', 'client satisfaction', 'collaboration', 'customer service', 'troubleshooting', 'certification', 'communication', 'consultation', 'organization', 'administration', 'communication', 'time management', 'prioritization', 'problem solving', 'decision making', 'analytical skills', 'client relations', 'travel', 'career development']",Mid senior,Professional Services Consultant - Networking/Security/Wireless
Data & Analytics,"['consultative sales', 'customer relations', 'customer service', 'data analysis', 'decisionmaking', 'presentation', 'product demonstration', 'sales management', 'sales strategy', 'sales training', 'selfmotivation', 'territory management', 'time management']",Mid senior,Outside Sales Consultant - Fort Collins CO
Negotiation,"['sales', 'customer service', 'home improvement', 'lead generation', 'computer', 'ipad', 'email', 'high school diploma or ged', 'communication', 'presentation', 'negotiation', 'problem solving', 'time management', 'travel', 'physical activity', 'reliable transportation']",Mid senior,"Design Consultant, In-Home Sales - Youngstown, OH"
Formal Qualifications & Degrees,"['logistics', 'sales', 'customer service', 'communication', 'microsoft office', 'crm', 'prospecting', 'networking', 'bachelors degree']",Mid senior,Logistics Consultant (Freight Forwarder Sales)
Business Development & Customer Acquisition,"['business development', 'linkedin', 'job boards', 'sales', 'networking', 'client meetings', 'degree', 'communication', 'drivers license']",Mid senior,Recruitment Consultant Sales
MS Office,"['sales', 'customer service', 'microsoft office', 'networking', 'sales presentation', 'lead generation']",Associate,New Home Sales Consultant
Retail Operations,"['client service', 'sales leadership', 'visual merchandising']",Associate,Senior Client Advisor - Heathrow
Negotiation,"['sales', 'communication', 'negotiation', 'research', 'client relations', 'prospecting', 'time management', 'creativity', 'analytical thinking', 'problem solving', 'organization', 'attention to detail', 'drivers license', 'commissionbased compensation', 'sales training', 'professional development', 'teamwork']",Mid senior,Promotional Consultant - Sales
Collaboration,"['strategic planning', 'technology', 'health', 'communication', 'collaboration', 'problem solving', 'storytelling', 'business strategy', 'communication', 'communication', 'team building', 'leadership', 'diversity and inclusion']",Mid senior,Strategy Director
Negotiation,"['sales', 'customer service', 'communication', 'negotiation', 'microsoft office', 'automotive', 'time management', 'crm systems', 'social media', 'driving record', 'valid drivers license']",Mid senior,Sales Advisor
Time Management,"['sales', 'consultative sales', 'customer relations', 'time management', 'selfmotivation', 'ms outlook', 'sales strategy', 'high school diploma']",Mid senior,Outside Sales Consultant - Riverside CA
Teamwork,"['automotive sales', 'customer service', 'communication', 'product demonstration', 'sales strategy', 'profitability', 'client satisfaction', 'paperwork', 'computer', 'teamwork', 'scheduling', 'high school diplomaged', 'drivers license', 'positive attitude']",Mid senior,Auto Sales Consultant - Chevy GMC
Sales,"['sales', 'process management', 'research', 'lead generation', 'communication', 'b2b sales', 'organization', 'competitive nature', 'work ethic']",Mid senior,Recruitment Consultant Sales - Graduate
Collaboration,"['consulting', 'advisory', 'project management', 'datadriven insights', 'innovation', 'collaboration', 'design thinking', 'emotional intelligence', 'collaborative', 'resilient', 'adaptable', 'flexible', 'storytelling']",Associate,"Consultant/Sr. Consultant, Workplace Advisory (West)"
Project Management,"['strategy', 'business analysis', 'data analysis', 'stakeholder management', 'project management', 'execution', 'change management', 'communication', 'relationship building', 'teamwork', 'enterprise technology', 'cybersecurity', 'mba', 'consulting', 'business operations', 'innovation', 'diversity', 'inclusion', 'equal opportunity']",Associate,"Lead, Strategy and Transformation (Sr. Manager)"
Problem Solving,"['case management', 'communication', 'problem solving', 'conflict resolution', 'mentoring', 'coaching', 'active listening', 'customer service', 'empathy', 'diversity and inclusion', 'salary packaging', 'career development', 'learning and development', 'flexible work arrangements', 'paid parental leave', 'working with children check']",Associate,Employment Consultant - WFA
MS Office,"['sales', 'customer service', 'microsoft office', 'drivers license', 'weekend availability', 'real estate', 'utilities']",Associate,New Home Sales Consultant
MS Office,"['sales', 'customer service', 'microsoft office', 'networking']",Associate,New Home Sales Consultant
Business Development & Customer Acquisition,"['sales', 'technical', 'communication', 'critical thinking', 'business development', 'account management', 'leadership', 'influence', 'networking', 'problem solving', 'bachelors degree', 'advanced degree', 'engineering', 'business']",Associate,"Intern, Technical Sales & Consulting (USA)"
